Title,Description,Priority,Labels,Due Date
[S1-01] O*NET Data Download & Validation,"**Goal:** Produce clean JSON with all 1,016 O*NET occupations and metadata.

**Stream:** Data & Personas
**Size:** S · **Est. days:** 2
**Assignee:** Person B
**🔴 CRITICAL PATH**

### Acceptance Criteria
- [ ] JSON has 1,016 entries with soc_code, title, description, 6 RIASEC scores
- [ ] 10 spot-checks pass against O*NET website
- [ ] Schema documented

### Inputs
O*NET 29.0 database, pvx ONETLoader

### Outputs
occupations.json, schema.md",High,Stream 1: Data & Personas; Critical Path; Delegatable; Size: S,2026-02-14
[S1-02] RIASEC Stratification Analysis,"**Goal:** Understand RIASEC distribution and propose stratified pilot set of 50 occupations (~8-9 per RIASEC category).

**Stream:** Data & Personas
**Size:** XS · **Est. days:** 0.5
**Assignee:** Person B

### Acceptance Criteria
- [ ] Counts per primary RIASEC code
- [ ] Ranked occupation list per category
- [ ] Pilot set of 50 with ~8-9 per category

### Dependencies
Blocked by: S1-01

### Inputs
occupations.json

### Outputs
riasec_stratification.md, pilot_occupations.json",Medium,Stream 1: Data & Personas; Delegatable; Size: XS,2026-02-14
[S1-03] Persona Prompt Template Design,"**Goal:** Create 3-5 system prompt templates. No psychometric language, no trait labels, no demographics.

**Stream:** Data & Personas
**Size:** M · **Est. days:** 4
**Assignee:** Glenn + Person B
**🔴 CRITICAL PATH**

### Acceptance Criteria
- [ ] ≥3 template variants
- [ ] Automated blocklist scanner passing
- [ ] Each tested on 5 diverse occupations
- [ ] Glenn approved

### Inputs
pvx VocationalPersonaGenerator, QC criteria

### Outputs
prompt_templates.py, blocklist_scanner.py",High,Stream 1: Data & Personas; Critical Path; Size: M,2026-02-21
[S1-04] Large-Scale Prompt Generation,"**Goal:** Generate full library: 1,016 occupations × 3-5 variants = 3,000-5,000 prompts.

**Stream:** Data & Personas
**Size:** M · **Est. days:** 3
**Assignee:** Person B
**🔴 CRITICAL PATH**

### Acceptance Criteria
- [ ] One JSON per occupation with all variants
- [ ] All pass blocklist scan
- [ ] Manifest documenting any augmented/flagged prompts

### Dependencies
Blocked by: S1-01, S1-03

### Inputs
occupations.json, templates

### Outputs
prompts/ directory, generation_manifest.csv",High,Stream 1: Data & Personas; Critical Path; Delegatable; Size: M,2026-02-21
[S1-05] Automated QC Filtering,"**Goal:** Final QC pass over all generated prompts.

**Stream:** Data & Personas
**Size:** S · **Est. days:** 1
**Assignee:** Person B
**🔴 CRITICAL PATH**

### Acceptance Criteria
- [ ] QC report with pass rate and failure reasons
- [ ] Filtered prompt set ready

### Dependencies
Blocked by: S1-04

### Inputs
prompts/ directory

### Outputs
prompts_filtered/, qc_report.md",High,Stream 1: Data & Personas; Critical Path; Delegatable; Size: S,2026-02-28
[S1-06] Non-Occupational Role Library,"**Goal:** Assemble ~515 character roles and traits from assistant-axis as additional personas.

**Stream:** Data & Personas
**Size:** S · **Est. days:** 2
**Assignee:** Person C

### Acceptance Criteria
- [ ] ~515 non-occupational persona JSONs
- [ ] Same schema as occupational
- [ ] Category tags present

### Dependencies
Blocked by: S2-05

### Inputs
assistant-axis role/trait lists

### Outputs
nonoccupational_prompts/ directory",Medium,Stream 1: Data & Personas; Delegatable; Size: S,2026-02-21
[S1-07] Leakage Audit,"**Goal:** Verify zero overlap between elicitation battery and psychometric instruments.

**Stream:** Data & Personas
**Size:** S · **Est. days:** 1
**Assignee:** Person D

### Acceptance Criteria
- [ ] Audit report with methodology
- [ ] Item overlap matrix
- [ ] Zero items above threshold or documented replacements

### Dependencies
Blocked by: S3-01, S3-02, S3-03, S3-05

### Inputs
elicitation_battery.json, all instruments

### Outputs
leakage_audit_report.md",Medium,Stream 1: Data & Personas; Delegatable; Size: S,2026-02-21
[S2-01] Model Download & Environment Setup,"**Goal:** Download OLMo3, set up CUDA, verify generation works.

**Stream:** Pipeline & Infra
**Size:** M · **Est. days:** 3
**Assignee:** Person C
**🔴 CRITICAL PATH**

### Acceptance Criteria
- [ ] Model loads and generates coherent text
- [ ] Model card documented
- [ ] Smoke test passes
- [ ] Hardware requirements documented

### Inputs
HuggingFace model hub

### Outputs
model environment, model_card_olmo3.md",High,Stream 2: Pipeline & Infra; Critical Path; Delegatable; Size: M,2026-02-14
[S2-02] Activation Extraction Code Refinement,"**Goal:** Refine pvx extraction: 3 token-position modes (prompt_last, response_avg, prompt_avg), batching, selective layers.

**Stream:** Pipeline & Infra
**Size:** M · **Est. days:** 5
**Assignee:** Glenn
**🔴 CRITICAL PATH**

### Acceptance Criteria
- [ ] Shape verification tests pass for all 3 modes
- [ ] Batch processing matches single-item results
- [ ] Selective layer extraction works
- [ ] .pt output format correct

### Dependencies
Blocked by: S2-01

### Inputs
pvx persona_model.py, assistant-axis reference

### Outputs
extract_activations.py, test_extraction.py",High,Stream 2: Pipeline & Infra; Critical Path; Size: M,2026-02-21
[S2-03] Steering Code Validation,"**Goal:** Verify existing steering code works with synthetic vectors; choose implementation.

**Stream:** Pipeline & Infra
**Size:** S · **Est. days:** 2
**Assignee:** Glenn

### Acceptance Criteria
- [ ] Steered ≠ unsteered qualitatively
- [ ] Layer parameter works
- [ ] Coefficient parameter works
- [ ] Implementation chosen and documented

### Dependencies
Blocked by: S2-02

### Inputs
pvx persona_model.py, persona_vectors activation_steer.py

### Outputs
steering.py, steering_test_results.md",Medium,Stream 2: Pipeline & Infra; Size: S,2026-02-21
