MODEL: allenai/Olmo-3-7B-Instruct
ROLES: pragmatist
ALPHAS: 
COLUMNS: 
2026-03-29 12:07:32,646 | INFO | abstract-dataset | Logging initialized. Writing to logs/runtime/2026-03-29_12-07-32_abstract-dataset.log
2026-03-29 12:07:48,655 | INFO | response_generation | Logging initialized. Writing to logs/runtime/2026-03-29_12-07-48_response_generation.log
2026-03-29 12:07:48,892 | INFO | role-dataset | Logging initialized. Writing to logs/runtime/2026-03-29_12-07-48_role-dataset.log
2026-03-29 12:08:30,047 | INFO | abstract-persona-model | Logging initialized. Writing to logs/runtime/2026-03-29_12-08-30_abstract-persona-model.log
2026-03-29 12:09:44,898 | INFO | abstract-judge | Logging initialized. Writing to logs/runtime/2026-03-29_12-09-44_abstract-judge.log
2026-03-29 12:09:44,976 | INFO | persona-llm-as-judge | Logging initialized. Writing to logs/runtime/2026-03-29_12-09-44_persona-llm-as-judge.log
2026-03-29 12:09:45,036 | INFO | persona-role-llm-as-judge | Logging initialized. Writing to logs/runtime/2026-03-29_12-09-45_persona-role-llm-as-judge.log
2026-03-29 12:09:45,070 | INFO | role-persona-model | Logging initialized. Writing to logs/runtime/2026-03-29_12-09-45_role-persona-model.log
2026-03-29 12:09:45,080 | INFO | role-layers-persona-model | Logging initialized. Writing to logs/runtime/2026-03-29_12-09-45_role-layers-persona-model.log
2026-03-29 12:09:45,091 | INFO | assistant-axis-persona-model | Logging initialized. Writing to logs/runtime/2026-03-29_12-09-45_assistant-axis-persona-model.log
2026-03-29 12:09:45,117 | INFO | regenerate-malformed-responses | Logging initialized. Writing to logs/runtime/2026-03-29_12-09-45_regenerate-malformed-responses.log
2026-03-29 12:09:45,930 | INFO | regenerate-malformed-responses | === Regeneration summary: 410 total (steered=181, assistant_axis=229) across 1 role(s) ===
2026-03-29 12:09:45,932 | INFO | regenerate-malformed-responses | === Processing role: pragmatist ===
2026-03-29 12:09:45,935 | INFO | regenerate-malformed-responses | Loading steered model: role=pragmatist layer=16 samples=50
2026-03-29 12:09:45,937 | INFO | abstract-persona-model | Attempting to load PersonaModel for concept 'pragmatist' and model 'allenai/Olmo-3-7B-Instruct'
2026-03-29 12:09:45,939 | INFO | abstract-persona-model | Safetensors Path: persona_data/model_layer_inits/pragmatist_persona_initialization/allenai__Olmo-3-7B-Instruct_layer16_count50.safetensors
2026-03-29 12:09:45,946 | INFO | abstract-persona-model | Loading PersonaModel from: persona_data/model_layer_inits/pragmatist_persona_initialization/allenai__Olmo-3-7B-Instruct_layer16_count50.safetensors
2026-03-29 12:10:05,934 | INFO | abstract-persona-model | pragmatist
2026-03-29 12:10:05,936 | INFO | abstract-persona-model | ✅ Loaded PersonaModel from safetensors: persona_data/model_layer_inits/pragmatist_persona_initialization/allenai__Olmo-3-7B-Instruct_layer16_count50.safetensors
2026-03-29 12:10:05,938 | INFO | abstract-persona-model |    Model: allenai/Olmo-3-7B-Instruct
2026-03-29 12:10:05,940 | INFO | abstract-persona-model |    Layer: 16
2026-03-29 12:10:05,943 | INFO | abstract-persona-model |    Concept: pragmatist
2026-03-29 12:10:05,945 | INFO | abstract-persona-model |    Prompt persona vector shape: (1, 4096)
